label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[2],5677,82,[0.08061617 0.08135711 0.82752895 0.01049779],[1.33956075e-14 4.06831222e-16 1.00000000e+00 1.92327712e-21],[0.10284527 0.12014271 0.75878024 0.01823179],,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,30.0,,,,2.0,,,,2.0,2.0,,,,,
[2],5791,378,[3.6619197e-06 2.5175868e-05 9.9997115e-01 1.5350531e-09],[0. 0. 1. 0.],[0.12807144 0.1864666  0.6569643  0.02849768],,,28.0,,,,,,,2.0,,,,,,,,,2.0,,,2.0,,,,,,,,,28.0,,,,,,2.0,,,,,,,,
[2],5811,42,[0.19785233 0.27562    0.38043687 0.14609078],[2.0501494e-09 7.5574186e-05 9.9992442e-01 3.5944112e-10],[0.20522054 0.2720367  0.37414685 0.14859591],,,10.0,,,,,,,,,,,,,,,,2.0,,,4.0,,2.0,,,,2.0,2.0,,8.0,,,,,,4.0,,,,,,,,
[2],5831,21,[0.2545549  0.25390065 0.2861096  0.20543484],[0.01095809 0.03080538 0.95596725 0.0022693 ],[0.23968495 0.25780565 0.29390135 0.208608  ],,,6.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,
[2],5839,11,[0.23897004 0.2798951  0.24592394 0.23521097],[0.21621688 0.24502543 0.4473324  0.09142534],[0.23550914 0.28317627 0.24430126 0.2370132 ],,,2.0,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,2.0,2.0,,,,,,4.0,,2.0,,4.0,4.0,,,,,
[2],5755,60,[0.14889649 0.15554596 0.6522542  0.04330343],[1.7424182e-17 4.4296854e-12 1.0000000e+00 7.4923131e-23],[0.22938554 0.19849408 0.5001254  0.07199495],,,16.0,,,,,,,,2.0,,,,,,,,10.0,,,,,2.0,,,,,,,16.0,,,,,,,,,,,,,,
[2],5844,9,[0.2431968  0.2808702  0.260646   0.21528693],[0.23809642 0.22055978 0.402747   0.13859674],[0.23942207 0.28381583 0.2607     0.21606208],,,4.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,2.0,,,2.0,,,,2.0,,,,2.0,2.0,,,,,
[2],5861,144,[1.2597873e-02 2.0495242e-02 9.6637964e-01 5.2726868e-04],[2.5872646e-27 4.5474126e-27 1.0000000e+00 3.4965807e-37],[0.0632771  0.09227572 0.83618724 0.00825993],,,42.0,,,,,,,2.0,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,38.0,,,,2.0,,,,2.0,2.0,,,,,
[3],5857,25,[0.25331452 0.25052857 0.29605553 0.20010145],[2.2832317e-04 2.5258400e-02 2.8719332e-03 9.7164130e-01],[0.2568039  0.24652085 0.29178485 0.20489042],,,8.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,2.0,,,,2.0,,,,2.0,2.0,,,,,
[3],5752,34,[0.24851167 0.26731837 0.3102235  0.17394654],[5.6651930e-05 1.9348215e-02 2.7087105e-03 9.7788644e-01],[0.26066926 0.26368016 0.30047175 0.1751789 ],,,10.0,,,,,,,,2.0,,,,,,,,,,,6.0,,2.0,,,,2.0,2.0,,8.0,,,,2.0,,,,2.0,2.0,,,,,
[3],5795,19,[0.24905229 0.25789693 0.28524673 0.20780408],[0.00697096 0.12540074 0.03696278 0.8306655 ],[0.2493375  0.25643247 0.28741026 0.20681976],,,8.0,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,2.0,,4.0,,,,2.0,,,,2.0,2.0,,,,,
[3],5753,11,[0.23988433 0.258664   0.23665869 0.26479292],[0.01490195 0.1477734  0.0466284  0.79069626],[0.22393645 0.2627778  0.23621488 0.27707085],,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,,,2.0,,,,,,,4.0,,2.0,,4.0,4.0,,,,,
[3],5798,7,[0.3007806  0.22936626 0.21853496 0.2513182 ],[0.26238906 0.24913377 0.24745604 0.24102116],[0.30287957 0.22796485 0.21731988 0.25183564],,,,,,,,,,,2.0,,,,,,,,,,,2.0,,2.0,,,,2.0,,,,,,,4.0,,,,4.0,4.0,,,,,
[3],5854,46,[0.24140602 0.2454317  0.34192672 0.17123558],[0.00916474 0.11035679 0.06635052 0.8141279 ],[0.25408435 0.23797612 0.31952307 0.1884164 ],,,12.0,,,,,,,,,,,,,,,,16.0,,,2.0,,2.0,,,,,2.0,,12.0,,,,4.0,,,,4.0,4.0,,,,,
