label,node_idx,number_neighbors,prediction_explain,prediction_full,prediction_explain_binary,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
[0],5778,1102,[0.2940666  0.24205072 0.26235104 0.20153151],[0.761623   0.031212   0.19649462 0.01067041],[0.27296308 0.24651305 0.24765301 0.23287088],,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,1178,,,,1178,1178,,,,,
[1],5731,1120,[0.18069793 0.46333122 0.24087793 0.11509299],[1.1364882e-05 9.9985659e-01 1.3180358e-04 2.2794679e-07],[0.24127254 0.26564068 0.26348376 0.22960305],,,12.0,,,,,,,,20.0,,,,,,,,8.0,,,4.0,,,,,,2.0,,,2.0,,,,188,,4.0,,188,188,,,,,
[1],5905,1056,[0.27352902 0.25077245 0.2473316  0.22836684],[0.15494749 0.54743814 0.21439601 0.08321825],[0.27296308 0.24651305 0.24765301 0.23287088],,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,78,78,,,,,
[1],5808,1103,[0.2686246  0.27027518 0.25405392 0.20704633],[0.33454943 0.45557433 0.18355651 0.02631968],[0.26565835 0.2639584  0.26008192 0.21030137],,,,,,,,,,,30.0,,,,,,,,2.0,,,4.0,,,,,,,,,2.0,,,,1174,,2.0,,1174,1174,,,,,
[1],5785,1109,[0.29192162 0.2463421  0.2515476  0.21018864],[0.06015658 0.74386996 0.19148983 0.00448361],[0.311461   0.22091085 0.220245   0.24738312],,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,2.0,,,,,,,2.0,,,,112,,,,112,112,,,,,
[2],5757,1080,[0.18466708 0.17603949 0.54465455 0.09463891],[4.2013343e-07 1.4281601e-06 9.9999809e-01 6.0993544e-09],[0.21052673 0.20758295 0.45591336 0.12597698],,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,844,,,,844,844,,,,,
[2],5797,1178,[0.06236436 0.09287516 0.83101666 0.01374382],[1.3037322e-17 9.3949744e-12 1.0000000e+00 1.2543196e-22],[0.20892325 0.29205552 0.31626284 0.18275839],,,16.0,,,,,,,,,,,,,,,,8.0,,,12.0,,,,,,,,,6.0,,,,134,,14.0,,134,134,,,,,
[2],5900,1244,[1.6072240e-03 2.8182005e-03 9.9548197e-01 9.2600996e-05],[5.3081997e-33 3.7996071e-27 1.0000000e+00 2.4102334e-43],[0.01160493 0.0150121  0.97215796 0.00122504],,,200.0,,,,,,,,12.0,,,,,,,,78.0,,,22.0,,2.0,,,,,2.0,,160.0,,,,840,,14.0,,840,840,,,,,
[2],5677,1182,[7.5316257e-03 6.2821484e-03 9.8559397e-01 5.9225317e-04],[1.33956075e-14 4.06831222e-16 1.00000000e+00 1.92327712e-21],[0.22104935 0.25262538 0.4379306  0.08839472],,,34.0,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,30.0,,,,164,,,,164,164,,,,,
[2],5791,1643,[5.4524163e-10 3.4247445e-09 1.0000000e+00 2.5293729e-14],[0. 0. 1. 0.],[3.7470613e-08 2.1078337e-07 9.9999976e-01 4.9690985e-12],,,522.0,,,,,,,38.0,14.0,,,,,,,,130.0,,,76.0,,,,,,,,,532.0,,,,848,,48.0,,848,848,,,,,
[2],5811,1176,[0.23248652 0.26344588 0.33058783 0.17347983],[2.0501494e-09 7.5574186e-05 9.9992442e-01 3.5944112e-10],[0.2758697  0.26647145 0.2293997  0.22825916],,,30.0,,,,,,,,28.0,,,,,,,,18.0,,,16.0,,,,,,,,,16.0,,,,314,,4.0,,314,314,,,,,
[2],5831,1115,[0.26667    0.24673007 0.26733172 0.21926829],[0.01095809 0.03080538 0.95596725 0.0022693 ],[0.27296308 0.24651305 0.24765301 0.23287088],,,4.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,158,,2.0,,158,158,,,,,
[2],5839,1087,[0.27263024 0.2423749  0.24839245 0.2366024 ],[0.21621688 0.24502543 0.4473324  0.09142534],[0.27405208 0.23705292 0.24565066 0.2432443 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,1252,1252,,,,,
[2],5755,1158,[0.06235216 0.07344842 0.8502373  0.0139621 ],[1.7424182e-17 4.4296854e-12 1.0000000e+00 7.4923131e-23],[0.26955974 0.24980979 0.27332753 0.20730296],,,8.0,,,,,,,,,,,,,,,,2.0,,,6.0,,,,,,,,,4.0,,,,106,,2.0,,106,106,,,,,
[2],5844,1067,[0.2955666  0.24311976 0.24899372 0.21231988],[0.23809642 0.22055978 0.402747   0.13859674],[0.3109277  0.23790105 0.24867567 0.20249553],,,4.0,,,,,,,,100.0,,,,,4.0,,,,,,,,2.0,,,,8.0,,,4.0,,,,1948,,,,1948,1948,,,,,
[2],5861,1263,[1.6021514e-03 2.0862981e-03 9.9624974e-01 6.1838902e-05],[2.5872646e-27 4.5474126e-27 1.0000000e+00 3.4965807e-37],[0.1848389  0.18583472 0.56615466 0.06317177],,,98.0,,,,,,,,,,,,,,,,22.0,,,4.0,,,,,,,,,80.0,,,,366,,4.0,,366,366,,,,,
