label,node_idx,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
1,5731,,,,,,,,,,,,,,,,,,11.0,8.0,,,2.0,,1.0,,,,1.0,1.0,1.0,10.0,,,,1.0,,2.0,,1.0,1.0,,,,,
1,5905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,
1,5808,,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,1.0,,,,,1.0,,2.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,
1,5785,,,,,,,,,,,,,,,,,,4.0,4.0,,,1.0,,1.0,,,,1.0,1.0,,4.0,6.0,,,2.0,,1.0,,2.0,2.0,,,,,
2,5757,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,10.0,,,,1.0,,,,1.0,1.0,,,,,
2,5797,,,,,,,,,,,,,,21.0,,,,12.0,5.0,,,3.0,,,,,,1.0,1.0,21.0,14.0,15.0,,,2.0,,3.0,,2.0,2.0,,,,,
2,5900,,,25.0,,,,,9.0,,,1.0,,,19.0,,,,102.0,8.0,,,,,1.0,,,,1.0,1.0,46.0,36.0,,,,1.0,,2.0,,1.0,1.0,,,,,
2,5677,,,35.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,37.0,,,,1.0,,,,1.0,1.0,,,,,
2,5791,,,,,,,,,,,,,,170.0,,,,295.0,13.0,,,13.0,,1.0,,,,1.0,1.0,164.0,140.0,117.0,,,2.0,,8.0,,2.0,2.0,,,,,
2,5811,,,,,,,,,,,,,,6.0,,,,6.0,1.0,,,,,,,,,,,5.0,7.0,7.0,,,2.0,,3.0,,2.0,2.0,,,,,
2,5831,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,
2,5839,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,
2,5755,,,,,,,,,,,,,,26.0,,,,4.0,4.0,,,1.0,,1.0,,,,1.0,1.0,23.0,12.0,14.0,,,2.0,,,,2.0,2.0,,,,,
2,5844,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,,1.0,1.0,,,,,
2,5861,,,53.0,,,,,1.0,,1.0,1.0,,,10.0,,,,11.0,1.0,,,1.0,,,,,,,,18.0,32.0,,,,,,1.0,,,,,,,,
3,5857,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,4.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,2.0,,2.0,,2.0,2.0,,,,,
3,5752,,,,,,,,,,,,,,,,,,9.0,2.0,,,1.0,,1.0,,,,1.0,1.0,,8.0,9.0,,,2.0,,2.0,,2.0,2.0,,,,,
3,5795,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,1.0,1.0,2.0,2.0,,,2.0,,1.0,,2.0,2.0,,,,,
3,5753,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,,
3,5798,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,2.0,2.0,,,,,
3,5854,,,,,,,,,,,1.0,,,,,,,3.0,11.0,,,1.0,,1.0,,,,1.0,,,6.0,6.0,,,1.0,,,,1.0,1.0,,,,,
