label,node_idx,abstract,address,author,booktitle,carriedOutBy,carriesOut,chapter,dealtWithIn,edition,editor,fax,financedBy,finances,hasProject,head,homepage,howpublished,isAbout,isWorkedOnBy,isbn,journal,member,month,name,note,number,pages,phone,photo,projectInfo,publication,publishes,series,title,type,volume,worksAtProject,year,type,type,range,subClassOf,allValuesFrom,inverseOf,onProperty
2,5757,,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,,,,1.0,,,,1.0,1.0,,,,,
2,5797,,,6.0,,5.0,2.0,,3.0,,,,,,7.0,,,,14.0,2.0,,,4.0,,,,,,,,8.0,7.0,2.0,,,1.0,,3.0,,1.0,1.0,,,,,
2,5900,,,18.0,,,,,1.0,,,,,,18.0,,1.0,,45.0,5.0,,,1.0,,,,,,,,16.0,17.0,,,,,,,,,,,,,,
2,5677,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,11.0,,,,1.0,,,,1.0,1.0,,,,,
2,5791,,,35.0,,2.0,3.0,,16.0,,,,,,43.0,,,,116.0,3.0,,,4.0,,1.0,,,,,,46.0,29.0,32.0,,,2.0,,2.0,,2.0,2.0,,,,,
2,5811,,,4.0,,,2.0,,,,,1.0,,,6.0,,,,3.0,,,,1.0,,,,,,,,5.0,1.0,2.0,,,,,1.0,,,,,,,,
2,5831,,,3.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,
2,5839,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,
2,5755,,,5.0,,1.0,2.0,,1.0,,,,,,7.0,,,,4.0,,,,,,,,,,,,7.0,3.0,1.0,,,,,1.0,,,,,,,,
2,5844,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,
2,5861,,,22.0,,,,,1.0,,1.0,1.0,,,10.0,,,,12.0,3.0,,,1.0,,1.0,,,,1.0,,8.0,19.0,,,,1.0,,,,1.0,1.0,,,,,
3,5857,,,4.0,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,2.0,,,,,,1.0,1.0,2.0,3.0,2.0,,,,,1.0,,,,,,,,
3,5752,,,4.0,,1.0,,,2.0,,,,,,,,,,8.0,2.0,,,1.0,,,,,,,,,4.0,3.0,,,1.0,,1.0,,1.0,1.0,,,,,
3,5795,,,3.0,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,,4.0,3.0,,,1.0,,1.0,,1.0,1.0,,,,,
3,5753,,,,,1.0,,,,,,,,,,,,,2.0,1.0,,,2.0,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,
3,5798,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,
3,5854,,,5.0,,,,,,,,1.0,,,,,,,10.0,2.0,,,,,1.0,,,,1.0,,,6.0,6.0,,,,,,,,,,,,,


